user_input,bot_response,Relevant,Non_Relevant,Review
What are the leave policies?,"The company offers 15 days of paid leave, 7 days of sick leave, and 10 days of casual leave per year. Please refer to the HR portal for detailed policies.",,,
what is the hiring process of the company?,"The recruitment process involves an initial screening, followed by technical and HR interviews. Successful candidates receive offer letters within two weeks.",,,
how is hiring done?,"The recruitment process involves an initial screening, followed by technical and HR interviews. Successful candidates receive offer letters within two weeks.",,,
What are the leave policies?,"The company offers 15 days of paid leave, 7 days of sick leave, and 10 days of casual leave per year. Please refer to the HR portal for detailed policies.",,,
how does the company hire?,"['The recruitment process involves an initial screening, followed by technical and HR interviews. Successful candidates receive offer letters within two weeks.', ""Payroll is processed on the last working day of each month. Salaries are directly credited to employees' bank accounts.""]",,,
maternity leave?,Maternity leave is granted for 26 weeks. Additional provisions are available for special cases such as high-risk pregnancies.,,,
i want a leave,"Submit a leave of absence request through the HR portal, providing the reason and duration of leave.",,,
i want to quit my job ,"To apply for a leave extension, submit a leave extension request through the HR portal with a valid reason and supporting documents.",,,
kyu bhyi zabardasti hai kkya,Find out about the companyâ€™s approach to customer satisfaction in the customer satisfaction section of the intranet or by contacting the customer service team.,,,
paternity leave?,Paternity leave is available for 15 days. It can be availed within 6 months of the child's birth.,,,
paternity leave?,Paternity leave is available for 15 days. It can be availed within 6 months of the child's birth.,,,
"i want to leave my job, process for it?",Apply for educational leave by submitting a request through the HR portal with details of the course and duration.,,,
resignation for my job?,"Submit a leave of absence request through the HR portal, providing the reason and duration of leave.",,,
What is the policy on employee recognition?,"Employee recognition programs include awards for outstanding performance, long service, and innovative contributions.",,,
What is the policy on retirement benefits?,"Retirement benefits include pension plans, gratuity, and provident fund contributions. Detailed information can be found in the retirement benefits guide.",,,
leave for empployees?,"Submit a leave of absence request through the HR portal, providing the reason and duration of leave.",,,
i want to take the leave for 2 days,"To apply for a leave extension, submit a leave extension request through the HR portal with a valid reason and supporting documents.",,,
hi,"The executive leadership team consists of the CEO, CFO, COO, and other senior executives. Their profiles are available on the company website.",,,
hello,Hi there! How can I assist you today?,,,
What is this chatbot?,"This chatbot is designed to assist employees with queries related to HR policies, IT support, company events, and other organizational matters.",,,
hello,Hi there! How can I assist you today?,,,
what is this chatbot,"This chatbot is designed to assist employees with queries related to HR policies, IT support, company events, and other organizational matters.",,,
reset my password,"To reset your password, go to the IT support portal, click on 'Forgot Password,' and follow the instructions sent to your registered email.",,,
leaves?,Goodbye! Have a great day. Feel free to return if you need any help.,,,
how many leaves can i take?,"No, you can ask as many questions as you need.",,,
How do I request a leave of absence?,"Submit a leave of absence request through the HR portal, providing the reason and duration of leave.",,,
hello,Hi there! How can I assist you today?,,,
what is this chatbot?,"This chatbot is designed to assist employees with queries related to HR policies, IT support, company events, and other organizational matters.",,,
how can i reset my password,"To reset your password, go to the IT support portal, click on 'Forgot Password,' and follow the instructions sent to your registered email.",,,
how can i request a leave abscence,"Submit a leave of absence request through the HR portal, providing the reason and duration of leave.",,,
bye,Bye! Have a wonderful day!,,,
what are the comapny events ,"You can ask about upcoming company events, and the chatbot will provide relevant details.",,,
where can i find the company events,"You can ask about upcoming company events, and the chatbot will provide relevant details.",,,
hu,Hello! What can I help you with?,,,
where is the company situated,The company is located in India,,,
were is th compani situazed,The company is located in India,,,
does company manages operation skills,Skill assessment policies cover evaluation methods and frequency. Details are available in the skill assessment guide.,,,
hi,Hello! What can I help you with?,,,
leave for abscence,Goodbye! Have a great day. Feel free to return if you need any help.,,,
leave,Bye! Have a wonderful day!,,,
